Date,high Temp. (°C),avg Temp. (°C),low Temp. (°C),high Dew Point (°C),avg Dew Point (°C),low Dew Point (°C),high Humidity (%),avg Humidity (%),low Humidity (%),high Sea Level Press. (hPa),avg Sea Level Press. (hPa),low Sea Level Press. (hPa),high Visibility (km),avg Visibility (km),low Visibility (km),high Wind (km/h),avg Wind (km/h),high Gust Wind (km/h),sum Precip. (mm),Events
3/31/2017,18,14,11,10,7,4,77,57,37,1017,1015,1013,31,18,10,24,10,-,1,Rain
4/1/2017,17,13,9,9,7,4,88,67,31,1015,1013,1012,31,17,10,19,11,-,0,Rain
4/2/2017,18,12,6,7,6,4,93,63,33,1025,1019,1014,31,24,10,16,6,-,0,
4/3/2017,20,13,7,7,4,2,87,56,22,1027,1025,1024,31,20,10,11,6,-,0,
4/4/2017,18,12,6,7,6,3,87,64,39,1026,1024,1023,31,15,10,23,6,-,0,
4/5/2017,16,11,7,7,6,2,82,65,37,1029,1027,1025,31,11,6,27,18,42,0,
4/6/2017,14,10,6,3,2,0,81,57,32,1030,1029,1027,26,15,10,26,19,-,0,
4/7/2017,18,10,3,6,3,1,87,59,33,1029,1026,1024,19,18,11,13,6,-,0,
4/8/2017,21,13,6,7,6,4,87,58,28,1025,1023,1021,18,10,5,13,6,-,0,
4/9/2017,25,14,4,7,4,1,88,49,13,1023,1022,1020,31,15,6,11,3,-,0,
4/10/2017,16,13,9,8,6,1,87,60,32,1026,1023,1020,31,13,3,21,13,-,0,
4/11/2017,16,10,4,3,1,-1,81,51,25,1029,1027,1025,31,24,10,19,11,34,0,
4/12/2017,19,11,3,7,3,1,87,57,26,1026,1021,1017,31,21,10,23,11,-,0,
4/13/2017,16,11,6,7,6,3,87,65,39,1020,1019,1017,31,14,10,19,11,-,0,
4/14/2017,17,13,9,6,4,3,71,53,28,1019,1017,1017,31,14,10,14,6,-,0,
4/15/2017,15,10,6,10,6,3,88,72,46,1022,1019,1018,31,14,10,23,11,-,1,Rain
4/16/2017,14,10,5,5,3,1,87,62,34,1025,1023,1022,31,17,10,21,14,-,0,
4/17/2017,14,10,6,8,4,1,82,66,41,1024,1021,1019,31,15,10,26,11,-,1,Rain
4/18/2017,11,7,2,4,-1,-3,81,56,28,1030,1027,1024,26,16,10,23,13,-,1,Rain
4/19/2017,11,7,2,1,-2,-7,87,52,19,1035,1032,1030,26,17,10,32,16,-,0,
4/20/2017,12,6,-1,-4,-5,-6,65,40,18,1037,1035,1033,26,24,19,21,14,32,0,
4/21/2017,18,9,0,4,-1,-4,81,45,16,1034,1032,1028,26,19,14,13,5,-,0,
4/22/2017,17,11,6,7,5,3,87,65,36,1030,1027,1025,26,14,10,21,6,-,0,
4/23/2017,14,9,3,3,1,-1,81,51,27,1028,1026,1023,31,25,10,19,13,39,0,
4/24/2017,18,9,1,4,1,-2,81,47,19,1023,1017,1012,31,29,19,19,8,-,0,
4/25/2017,10,8,6,5,-1,-6,81,54,22,1013,1011,1010,31,17,8,24,11,40,0,Rain
4/26/2017,11,6,1,3,-1,-5,87,60,31,1017,1014,1011,31,18,5,24,13,-,2,"Rain , Thunderstorm"
4/27/2017,11,6,1,2,-1,-5,87,60,26,1020,1018,1017,31,18,10,24,11,34,1,Rain
4/28/2017,14,8,1,6,3,-3,87,67,36,1019,1017,1016,31,14,8,16,8,-,1,Rain
4/29/2017,17,10,3,6,3,2,100,63,28,1019,1016,1011,31,14,0,23,6,-,0,Fog
4/30/2017,19,12,6,9,3,0,94,58,19,1011,1004,999,31,19,3,26,13,58,5,Rain
5/1/2017,16,12,7,7,4,0,87,61,25,1015,1009,1003,31,16,10,35,21,52,0,Rain
5/2/2017,16,11,7,7,4,2,93,61,28,1019,1016,1014,31,17,10,19,8,-,0,Rain
5/3/2017,11,10,9,9,7,5,93,82,58,1020,1018,1017,23,7,3,13,8,-,5,Rain
5/4/2017,17,12,6,9,8,5,100,80,42,1019,1017,1016,14,7,0,16,6,-,5,"Fog , Rain"
5/5/2017,18,12,7,9,8,6,93,73,42,1019,1016,1011,26,7,2,23,13,-,0,
5/6/2017,12,11,11,11,8,6,94,77,55,1012,1008,1006,19,10,3,24,14,-,2,Rain
5/7/2017,14,12,10,10,8,6,94,79,56,1022,1018,1012,14,8,3,23,16,-,2,Rain
5/8/2017,12,10,8,8,6,3,87,73,46,1024,1023,1022,26,11,5,23,13,-,0,Rain
5/9/2017,16,11,5,8,4,1,87,60,27,1024,1019,1013,26,14,10,23,18,-,0,
5/10/2017,21,13,5,7,4,1,81,50,24,1013,1007,1000,27,26,19,21,10,-,0,
5/11/2017,19,16,12,12,10,7,94,69,40,1001,998,995,26,14,10,26,8,-,0,Rain
5/12/2017,22,16,11,14,12,9,94,76,43,1006,1001,997,31,14,4,21,11,-,6,"Rain , Thunderstorm"
5/13/2017,20,16,11,12,10,8,94,71,40,1016,1011,1006,31,18,10,21,13,-,0,
5/14/2017,21,16,11,12,9,7,82,64,39,1027,1021,1016,31,16,10,23,10,34,1,Rain
5/15/2017,24,17,10,11,9,8,88,61,26,1030,1028,1026,31,26,10,14,5,-,0,
5/16/2017,28,21,13,12,11,9,82,54,23,1028,1026,1024,31,28,19,13,5,-,0,
5/17/2017,29,22,15,17,13,11,94,58,25,1024,1017,1011,26,17,3,29,5,-,6,Rain
5/18/2017,21,16,10,16,13,9,94,81,55,1013,1011,1007,26,10,3,32,11,-,14,"Rain , Thunderstorm"
5/19/2017,17,13,8,9,7,4,94,71,37,1017,1014,1012,26,13,10,29,16,-,1,Rain
5/20/2017,18,12,6,8,6,4,93,67,36,1026,1021,1017,26,12,10,16,10,-,0,
5/21/2017,21,14,7,9,7,6,94,60,29,1027,1024,1020,31,20,8,19,6,-,0,
5/22/2017,26,19,11,13,9,6,72,52,28,1020,1016,1015,31,27,23,13,6,-,0,
5/23/2017,24,19,14,13,12,10,88,63,34,1025,1021,1016,31,17,10,21,13,-,0,
5/24/2017,24,19,14,14,13,12,88,66,39,1026,1025,1023,31,15,10,19,10,-,0,
5/25/2017,26,20,14,13,11,9,77,54,25,1024,1022,1019,31,23,19,23,13,-,0,
5/26/2017,27,21,15,13,11,9,68,48,27,1019,1016,1014,31,31,31,27,13,-,0,
5/27/2017,30,23,16,18,14,12,77,56,29,1017,1015,1013,31,30,26,16,6,-,0,
5/28/2017,32,24,17,20,17,13,88,63,37,1018,1016,1013,31,20,6,14,10,-,1,"Rain , Thunderstorm"
5/29/2017,29,23,18,18,16,13,83,60,39,1015,1013,1012,31,17,10,24,8,-,0,
5/30/2017,23,20,17,16,13,10,88,63,39,1022,1017,1014,31,17,10,19,11,-,0,
5/31/2017,24,17,11,12,11,9,94,58,32,1024,1022,1021,31,24,10,16,8,-,0,Fog
6/1/2017,29,21,13,13,12,11,82,53,23,1022,1020,1017,31,19,10,13,8,-,0,
6/2/2017,28,22,17,18,15,13,88,67,37,1018,1016,1014,31,13,3,14,6,-,9,"Rain , Thunderstorm"
6/3/2017,21,18,14,16,13,8,94,77,53,1017,1015,1014,31,14,6,21,8,32,1,Rain
6/4/2017,21,14,8,10,7,5,93,60,26,1020,1019,1017,31,17,10,16,10,-,0,
6/5/2017,23,17,9,10,8,5,88,55,29,1018,1013,1005,31,24,10,27,8,-,2,
6/6/2017,19,15,11,12,8,4,94,66,34,1013,1005,999,31,13,5,40,24,61,3,"Rain , Thunderstorm"
6/7/2017,21,15,9,8,7,6,82,60,30,1020,1017,1013,31,17,10,29,19,40,0,
6/8/2017,27,19,12,13,11,8,82,56,30,1019,1015,1011,26,23,10,24,10,-,0,
6/9/2017,23,19,15,15,12,9,94,62,29,1018,1014,1010,31,14,5,26,14,45,12,"Rain , Thunderstorm"
6/10/2017,27,20,13,13,11,9,82,53,25,1020,1019,1018,31,25,10,14,5,-,0,
6/11/2017,30,22,14,16,13,10,94,55,23,1019,1017,1014,31,22,10,26,6,-,0,
6/12/2017,22,18,13,13,9,8,82,54,33,1022,1020,1017,26,14,10,19,14,-,0,
6/13/2017,24,18,11,12,9,7,77,54,27,1021,1019,1017,31,29,19,19,10,-,0,
6/14/2017,28,22,16,15,12,10,72,52,26,1018,1016,1013,31,27,19,14,10,-,0,
6/15/2017,29,24,18,18,15,12,83,56,29,1020,1016,1014,31,22,10,24,8,-,0,
6/16/2017,24,19,13,13,10,8,82,55,30,1027,1024,1020,31,17,10,19,13,52,0,
6/17/2017,27,20,12,14,12,9,82,56,34,1028,1027,1024,31,20,10,21,10,-,0,
6/18/2017,29,23,18,15,14,13,73,53,29,1025,1022,1019,10,10,10,23,13,-,0,
6/19/2017,33,24,16,15,12,10,72,42,17,1020,1017,1015,,,,11,6,-,0,
6/20/2017,35,26,17,15,13,12,77,42,19,1016,1015,1014,,,,19,5,-,0,
6/21/2017,37,28,19,18,16,13,73,42,21,1016,1014,1012,26,12,10,16,5,-,0,
6/22/2017,36,28,20,20,17,15,78,53,21,1016,1013,1012,26,23,18,29,10,-,0,
6/23/2017,25,21,16,14,12,11,77,56,33,1021,1019,1016,27,16,10,23,14,37,0,
6/24/2017,26,19,13,12,11,10,82,53,29,1021,1019,1015,31,17,10,24,10,40,0,
6/25/2017,28,22,16,14,13,11,73,54,33,1016,1015,1014,31,19,10,23,14,-,0,
6/26/2017,28,22,16,16,14,13,82,57,33,1015,1012,1009,31,22,10,21,8,-,0,Rain
6/27/2017,27,23,19,19,17,15,88,72,47,1010,1005,1001,31,15,6,16,6,-,4,"Rain , Thunderstorm"
6/28/2017,23,20,16,17,15,13,88,76,52,1001,999,997,31,14,6,21,13,-,1,Rain
6/29/2017,22,18,14,15,12,9,88,72,38,1002,999,997,31,13,10,26,11,-,1,Rain
6/30/2017,19,17,13,15,13,11,88,81,66,1009,1004,1002,31,13,3,21,11,-,7,Rain
7/1/2017,21,17,13,15,13,11,94,78,46,1021,1015,1009,31,12,3,23,14,-,4,Rain
7/2/2017,24,18,12,16,12,10,94,74,43,1024,1022,1021,31,13,2,19,13,-,1,Rain
7/3/2017,26,19,12,14,12,10,94,63,33,1025,1023,1021,31,16,10,16,8,-,0,
7/4/2017,28,20,12,14,12,10,94,56,26,1023,1021,1017,31,23,10,11,5,-,0,
7/5/2017,32,24,17,15,13,11,82,49,20,1018,1017,1014,31,29,19,14,6,-,0,
7/6/2017,35,28,20,19,15,11,69,46,18,1016,1015,1012,26,12,9,24,8,-,0,"Rain , Thunderstorm"
7/7/2017,34,27,20,18,15,11,83,50,17,1018,1016,1015,31,27,10,16,6,-,0,
7/8/2017,31,25,19,14,13,10,64,44,24,1019,1017,1014,31,28,19,16,11,-,0,
7/9/2017,30,24,18,18,16,14,94,61,30,1016,1012,1009,26,14,3,19,13,-,0,"Rain , Thunderstorm"
7/10/2017,23,20,17,18,16,14,94,82,60,1013,1011,1009,31,13,8,19,8,29,5,"Rain , Thunderstorm"
7/11/2017,24,19,14,15,12,9,94,67,29,1014,1013,1012,31,17,10,27,8,-,0,Rain
7/12/2017,24,20,16,17,14,11,94,69,46,1021,1014,1010,31,13,3,26,16,-,1,Rain
7/13/2017,24,20,15,16,12,9,83,59,39,1022,1020,1018,31,16,10,21,13,-,0,Rain
7/14/2017,24,19,14,16,10,7,78,53,31,1023,1020,1019,31,20,10,24,13,-,0,
7/15/2017,27,19,11,12,10,8,88,53,24,1025,1024,1022,31,23,10,16,8,-,0,
7/16/2017,31,23,17,17,14,8,72,52,28,1025,1024,1022,31,19,10,19,10,32,0,
7/17/2017,30,23,17,16,15,13,83,60,30,1023,1021,1017,31,23,10,19,11,-,0,
7/18/2017,34,27,19,17,16,14,78,52,24,1018,1013,1008,31,26,19,21,13,-,0,
7/19/2017,31,26,22,19,16,15,78,57,35,1010,1009,1008,31,14,10,26,11,-,1,Rain
7/20/2017,24,20,16,16,13,8,83,60,31,1015,1012,1010,31,16,10,32,14,48,0,
7/21/2017,25,19,12,12,9,7,82,51,22,1015,1012,1009,31,27,10,24,6,-,0,
7/22/2017,21,18,14,16,12,9,94,68,35,1014,1011,1010,31,15,6,23,14,27,3,Rain
7/23/2017,22,18,13,13,11,8,88,64,32,1017,1015,1013,31,18,10,29,14,-,0,Rain
7/24/2017,22,18,13,15,13,12,94,79,51,1016,1013,1012,31,14,6,29,13,45,4,Rain
7/25/2017,23,19,15,13,12,9,88,66,37,1016,1015,1014,26,14,8,23,14,-,0,Rain
7/26/2017,24,17,10,18,13,9,94,74,41,1015,1013,1011,27,14,6,24,11,-,0,Rain
7/27/2017,23,20,17,16,13,9,94,68,33,1012,1010,1009,31,12,4,21,13,-,1,Rain
7/28/2017,24,19,14,12,11,9,77,56,31,1016,1014,1011,29,12,10,26,11,42,0,
7/29/2017,29,23,18,16,14,12,73,55,35,1015,1013,1010,31,16,10,27,18,-,0,
7/30/2017,26,23,19,16,12,8,78,51,24,1012,1010,1008,31,16,10,37,24,52,0,
7/31/2017,24,19,13,15,11,9,88,56,28,1015,1014,1012,31,16,10,14,8,-,0,"Rain , Thunderstorm"
8/1/2017,27,21,15,16,13,9,94,63,27,1017,1015,1013,31,20,10,19,5,-,0,Rain
8/2/2017,30,23,16,13,12,9,72,48,24,1019,1016,1013,31,28,16,24,11,-,0,
8/3/2017,28,23,18,16,12,10,78,50,24,1014,1014,1012,31,20,10,34,18,48,0,Rain
8/4/2017,27,22,18,15,12,11,68,51,28,1016,1015,1014,31,22,10,24,18,-,1,
8/5/2017,25,20,16,17,12,7,88,59,25,1022,1017,1013,31,17,10,21,10,34,1,Rain
8/6/2017,24,17,9,11,7,5,94,50,19,1025,1023,1022,31,23,10,11,6,-,0,
8/7/2017,27,19,12,10,7,4,72,44,16,1022,1018,1012,31,29,26,13,8,-,0,
8/8/2017,19,17,14,15,12,7,88,69,33,1015,1011,1009,26,13,8,23,8,-,3,Rain
8/9/2017,19,16,12,12,11,8,88,76,39,1018,1016,1014,31,14,3,23,8,-,9,Rain
8/10/2017,20,16,11,13,11,9,94,77,45,1021,1019,1018,31,12,6,11,5,-,3,"Rain , Thunderstorm"
8/11/2017,22,18,13,13,11,10,88,69,42,1021,1020,1019,31,13,6,13,6,-,0,
8/12/2017,21,17,12,16,13,9,94,77,58,1021,1020,1019,31,15,3,27,13,-,0,Rain
8/13/2017,24,17,10,15,11,8,94,66,31,1022,1021,1020,31,16,10,10,5,-,0,Rain
8/14/2017,28,19,9,14,11,9,100,62,27,1021,1018,1014,31,23,10,13,5,-,0,Fog
8/15/2017,28,22,17,18,16,12,94,72,41,1020,1015,1012,31,14,3,24,11,53,12,"Fog , Rain , Thunderstorm"
8/16/2017,26,20,14,18,15,12,94,72,43,1022,1020,1019,31,17,10,11,6,-,0,Rain
8/17/2017,25,21,16,19,16,12,94,79,58,1019,1017,1016,31,15,3,27,13,-,7,Rain
8/18/2017,23,19,14,18,16,11,94,84,48,1018,1015,1014,26,12,3,26,13,-,7,"Rain , Thunderstorm"
8/19/2017,22,17,11,12,10,9,88,68,37,1024,1021,1018,31,15,10,24,13,-,0,
8/20/2017,22,16,9,11,8,7,94,62,29,1027,1025,1024,31,22,10,13,5,-,0,
8/21/2017,24,20,16,16,13,9,83,61,44,1025,1023,1020,31,17,10,13,6,-,0,Rain
8/22/2017,28,21,15,17,16,14,94,67,40,1021,1018,1015,31,22,10,23,6,-,0,Fog
8/23/2017,27,21,16,19,16,13,88,70,44,1017,1015,1012,31,16,10,23,11,-,0,Rain
8/24/2017,24,19,13,14,13,12,94,68,41,1020,1018,1017,31,14,10,14,6,-,0,Fog
8/25/2017,23,19,16,19,16,13,94,78,52,1017,1016,1014,31,13,4,16,8,-,14,"Fog , Rain , Thunderstorm"
8/26/2017,28,22,16,20,17,14,100,78,34,1016,1015,1014,26,7,0,8,2,-,0,Fog
8/27/2017,28,23,18,19,17,15,94,71,40,1019,1017,1016,31,16,3,16,6,39,2,"Rain , Thunderstorm"
8/28/2017,29,23,17,18,17,15,89,66,36,1018,1017,1015,31,22,14,11,6,-,0,
8/29/2017,32,24,17,19,17,15,94,61,28,1016,1013,1009,31,22,13,13,3,-,0,
8/30/2017,23,19,14,18,16,12,94,74,41,1013,1010,1008,31,15,7,27,11,-,1,Rain
8/31/2017,21,16,11,11,10,8,94,69,37,1022,1019,1014,31,16,6,24,16,-,0,Rain
9/1/2017,21,17,12,12,10,8,88,68,40,1022,1020,1019,31,18,6,26,5,-,3,"Rain , Thunderstorm"
9/2/2017,21,17,12,12,10,8,94,69,36,1022,1021,1020,31,14,10,19,8,-,1,Rain
9/3/2017,21,14,8,12,10,8,100,70,35,1021,1016,1012,31,17,10,16,6,-,0,"Fog , Rain"
9/4/2017,24,20,15,16,13,11,82,66,49,1018,1015,1012,19,14,10,19,8,-,0,
9/5/2017,22,19,17,17,16,14,94,73,57,1019,1018,1017,31,14,10,23,13,-,0,Rain
9/6/2017,20,16,12,15,11,9,88,68,43,1023,1021,1019,31,15,10,24,18,-,0,
9/7/2017,21,16,12,12,10,9,88,68,41,1022,1019,1015,31,15,10,23,11,-,0,
9/8/2017,19,17,14,15,12,9,94,76,56,1015,1008,1001,31,13,3,29,16,48,7,Rain
9/9/2017,18,14,11,14,11,8,94,82,56,1004,1001,999,26,13,4,24,14,-,9,Rain
9/10/2017,19,14,9,13,10,8,100,78,49,1008,1005,1001,31,16,10,29,11,48,0,
9/11/2017,18,15,12,13,9,8,94,70,42,1006,1002,1000,31,15,5,34,23,52,1,Rain
9/12/2017,19,14,11,11,9,7,88,70,43,1013,1010,1006,31,15,10,27,18,-,1,Rain
9/13/2017,18,15,12,15,13,8,100,84,62,1011,1008,1006,31,8,2,35,24,58,19,Rain
9/14/2017,18,14,11,12,9,6,94,78,49,1017,1011,1006,31,13,3,35,18,52,11,Rain
9/15/2017,18,12,7,9,8,5,94,73,41,1016,1014,1012,31,17,10,23,11,-,0,
9/16/2017,16,11,6,9,7,4,100,77,43,1013,1012,1011,31,18,10,16,6,32,0,"Fog , Rain"
9/17/2017,16,12,7,10,8,6,100,81,55,1016,1013,1011,31,14,7,13,5,-,2,"Fog , Rain"
